salary,gender,departm,years,age,publications
86285,0,bio,26,64,72
77125,0,bio,28,58,43
71922,0,bio,10,38,23
70499,0,bio,16,46,64
66624,0,bio,11,41,23
64451,0,bio,23,60,44
64366,0,bio,23,53,22
59344,0,bio,5,40,11
58560,0,bio,8,38,8
58294,0,bio,20,50,12
56092,0,bio,2,40,4
54452,0,bio,13,43,7
54269,0,bio,26,56,12
55125,0,bio,8,38,9
97630,0,chem,34,64,43
82444,0,chem,31,61,42
76291,0,chem,29,65,33
75382,0,chem,26,56,39
64762,0,chem,25,,29
62607,0,chem,20,45,34
60373,0,chem,26,56,43
58892,0,chem,18,48,21
47021,0,chem,4,34,12
44687,0,chem,4,34,19
104828,0,geol,,50,44
71456,0,geol,11,41,32
65144,0,geol,7,37,12
52766,0,geol,4,38,32
112800,0,neuro,14,44,33
105761,0,neuro,9,39,30
92951,0,neuro,11,41,20
86621,0,neuro,19,49,10
85569,0,neuro,20,46,35
83896,0,neuro,10,40,22
79735,0,neuro,11,41,32
71518,0,neuro,7,37,34
68029,0,neuro,15,45,33
66482,0,neuro,14,44,42
61680,0,neuro,18,48,20
60455,0,neuro,8,38,49
58932,0,neuro,11,41,49
106412,0,stat,23,53,29
86980,0,stat,23,53,42
78114,0,stat,8,38,24
74085,0,stat,11,41,33
72250,0,stat,26,56,9
69596,0,stat,20,50,18
65285,0,stat,20,50,15
62557,0,stat,28,58,14
61947,0,stat,22,58,17
58565,0,stat,29,59,11
58365,0,stat,18,48,21
53656,0,stat,2,32,4
51391,0,stat,5,35,8
96936,0,physics,15,50,17
83216,0,physics,11,37,19
72044,0,physics,2,32,16
64048,0,physics,23,53,4
58888,0,physics,26,56,7
58744,0,physics,20,50,9
55944,0,physics,21,51,8
54076,0,physics,19,49,12
82142,0,math,9,39,9
70509,0,math,23,53,7
60320,0,math,14,44,7
55814,0,math,8,38,6
53638,0,math,4,42,8
53517,2,math,5,35,5
59139,1,bio,8,38,23
52968,1,bio,18,48,32
55949,1,chem,4,34,12
58893,1,neuro,10,35,4
53662,1,neuro,1,31,3
57185,1,stat,9,39,7
52254,1,stat,2,32,9
61885,1,math,23,60,9
49542,1,math,3,33,5